year,country,Debt_to_GDP,Deficit_to_GDP,Debt_Growth,GDP,Debt,Deficit,cluster
2005,BG,26.574985752852548,1.6089917179355986,-15.1151975764662,24039.9,6388.6,386.8,0
2006,BG,20.87194454578621,2.6676395476103614,-10.44986381992925,27410.0,5721.0,731.2,0
2007,BG,16.31587539696963,-0.010472913656987435,-7.413039678377908,32464.7,5296.9,-3.4,0
2008,BG,13.017529069689397,1.4194546094016385,-8.463440880515005,37246.7,4848.6,528.7,0
2009,BG,13.663319765779297,-4.439342877835891,5.4428082333044525,37417.7,5112.5,-1661.1,0
2010,BG,15.296422042308697,-3.6636197440585008,14.562347188264058,38290.0,5857.0,-1402.8,0
2011,BG,15.1519169525481,-1.7471112514736051,7.307495304763534,41479.9,6285.0,-724.7,0
2012,BG,16.579458671456596,-0.8065260452534948,11.46698488464597,42255.3,7005.7,-340.8,0
2013,BG,16.99535383605747,-0.7271222792358797,2.0254935266996954,42056.2,7147.6,-305.8,0
2014,BG,27.006115092028534,-5.380630196143146,62.56225866024958,43024.7,11619.3,-2315.0,2
2015,BG,25.921769167951297,-1.8590412639908467,2.171387260850488,45797.8,11871.6,-851.4,0
2016,BG,29.10254122386523,0.3181401416554364,19.512955288250943,48752.1,14188.1,155.1,0
2017,BG,25.108853410740203,1.623944321908963,-7.086924958239649,52501.8,13182.6,852.6,0
2018,BG,22.19119080866991,1.7330171462448618,-5.730280824723499,56000.6,12427.2,970.5,0
2019,BG,20.117688584436085,2.1555541756406527,-0.9342410196987228,61195.4,12311.1,1319.1,0
2020,BG,24.462586793627185,-3.8283769692756624,22.91103150815119,61856.5,15131.7,-2368.1,2
2021,BG,23.849744200714834,-3.960333590300652,12.450022138953297,71345.0,17015.6,-2825.5,0
2022,BG,22.48526071828949,-2.935425972502164,13.749735536801545,86079.5,19355.2,-2526.8,0
2023,BG,22.930370922047338,-1.9924550338211677,11.986959576754552,94526.6,21675.3,-1883.4,0
2024,BG,23.84030360183566,-3.045563182932323,15.233468510239767,104768.8,24977.2,-3190.8,0
1996,CY,51.265509942839756,-2.437231467281783,8.392957633250276,7890.1,4044.9,-192.3,0
1997,CY,55.06578087303757,-4.356868664059993,14.549185393952868,8414.3,4633.4,-366.6,1
1998,CY,56.1720166947097,-3.2449795686471603,10.95955453878361,9152.6,5141.2,-297.0,0
1999,CY,56.739534741912856,-3.5366931918656053,8.59332451567727,9839.7,5583.0,-348.0,0
2000,CY,56.488902874701516,-1.7973825963015753,9.321153501701595,10804.6,6103.4,-194.2,0
2001,CY,58.13718984047092,-1.7340492463091124,10.52200412884623,11602.9,6745.6,-201.2,0
2002,CY,61.50128279400811,-3.7581726392452204,10.163662239089177,12083.0,7431.2,-454.1,1
2003,CY,64.33615874076433,-5.737571185505738,11.434223274841205,12871.3,8280.9,-738.5,1
2004,CY,65.7217678289568,-3.559334194288994,10.619618640485928,13938.0,9160.3,-496.1,1
2005,CY,64.4823894729143,-2.095177302135073,5.86662008886174,15039.3,9697.7,-315.1,0
2006,CY,59.74311046618872,-1.0231311255672106,0.19386039988862347,16263.8,9716.5,-166.4,0
2007,CY,55.42663862202262,3.1686657950088115,0.34580353007771514,17591.0,9750.1,557.4,0
2008,CY,47.105920723848605,0.6717693784686604,-8.158890678044328,19009.5,8954.6,127.7,0
2009,CY,57.64397204894112,-5.632513185724613,20.220892055479855,18675.5,10765.3,-1051.9,2
